Titulo,Link,Precio,Estado,Puntuacion,Ubicacion,Marca,Modelo,Capacidad,Condicion,disponibilidad,oferta,Comentarios,modelo_linea,ram,almacenamiento,sistema_operativo
Hp 240 G7 Intel Celeron N4020 4gb 1tb Pantalla 14 + Regalo,https://articulo.mercadolibre.com.pe/MPE-601060619-hp-240-g7-intel-celeron-n4020-4gb-1tb-pantalla-14-regalo-_JM,1349.0,Nuevo,4.4,¡Es uno de los mejores del sitio!,HP,HP 240 G7,DDR4,"Envío gratis a todo el país,Devolución gratis,, recibe el producto que esperabas o te devolvemos tu dinero.,12 meses de garantía de fábrica.","4 GB,No,14 "",12 h,#601060619",,"{'0': 'Tiene?', '1': 'Aún tiene?', '2': 'Hola se puede potenciar lo nesetito para diseño grafico', '3': 'Hola, cuenta con stock?; es refurbished o es completamente nueva?', '4': 'Cuenta con stock?', '5': 'aún se encuentra disponible'}",NOTEBOOK,4 GB,1366 px x 768 px,Gráficos UHD Intel 600
"Laptop Dell Latitude E5440 Ci5, 8gb, Disco Ssd 240gb 14  (Reacondicionado)",https://articulo.mercadolibre.com.pe/MPE-446722742-laptop-dell-latitude-e5440-ci5-8gb-disco-ssd-240gb-14-_JM,1490.0,3,,"Lince, Lima Metropolitana",Dell,E6440 / E5440,DDR3L,"Llega gratis ,, recibe el producto que esperabas o te devolvemos tu dinero.","mañana,8 GB,14 "",#446722742",,"{'0': '¿Biene con wifi?', '1': 'la pantalla que resolución tiene ?.....y que generación es el procesador??...', '2': 'Me interesa con 2 discos duros, el principal SSD y el secundario mecánico, a cuanto lo venderías?', '3': 'Aún tienen stock? necesito 2 unidades? Tiene tienda física ?', '4': 'Se puede para programas de diseño gráfico?'}",Latitude,8 GB,1 TB,Intel HD Graphics 4400
Laptop Refurbished Empresarial Dell Ci7 8gb Ssd 13.3/14'' (Reacondicionado),https://articulo.mercadolibre.com.pe/MPE-439172979-laptop-refurbished-empresarial-dell-ci7-8gb-ssd-13314-_JM,1389.0,22,,"Lince, Lima Metropolitana",Dell,E6430,DDR3,"Llega gratis ,, recibe el producto que esperabas o te devolvemos tu dinero.","mañana,8 GB,No,14 "",#439172979","23,% OFF","{'0': 'Buenos dias, tienes disponible? para arequipa', '1': ""Reacondicionado 22 vendidos Stock de Laptop Refurbished Empresarial Dell Ci7 8gb Ssd 13.3/14'' ???(Reacondicionado) para envío trujillo"", '2': ""Buenas tardes, tienes stock de LAPTOP EMPRESARIAL DELL LATITUDE E6430, 14'', Ci7, 8GB RAM, SSD 240GB, DVDRW, la quisiera con 16GB de RAm, cuál sería el costo adicional?"", '3': 'Buen dia, tiene stock del producto?', '4': 'Buenos días, tiene stock la Dell latitude E6430 ? Y para envío a Trujillo cuánto tiempo.', '5': 'Son equipos usados? Qye significa renovadas?', '6': 'Hermano, aún tienes stock?', '7': 'Buenos días, quisiera saber cuanto sale el envío para Lambayeque. Gracias.', '8': 'Consulta, cuánto el cuesta con ram de 16 GB?, Tienen máquinas con teclado numérico ?', '9': 'Otra preguntas, tiene alguna Asus gamer'}",Latitude,8 GB,Intel HD Graphics,HD
Laptop Hp Elitebook 8470p 14 Ci7 4gb Ram 1tb  (Reacondicionado),https://articulo.mercadolibre.com.pe/MPE-438674280-laptop-hp-elitebook-8470p-14-ci7-4gb-ram-1tb-_JM,1390.0,11,,"Lince, Lima Metropolitana",HP,8470P,DDR3,"Llega gratis ,, recibe el producto que esperabas o te devolvemos tu dinero.","mañana,4 GB,No,14 "",5 h,#438674280",,"{'0': 'El producto es usado', '1': 'Tiene para envío a trujillo?', '2': 'Buenas tardes, tiene disponible para envío a Cusco, gracias', '3': 'Con 16 GB de RAM, a cuánto saldría?', '4': 'hacen envio a provincia', '5': 'Buenas, dos consultas, cuando dice reacondicionado no es reparado? y hay que esperar quince dias por el equipo, no tiene stock?', '6': '¿Es nueva la máquina??', '7': 'Quisiera ver la laptop, lo que pasa es que es pars mi hija y esta usando una que sea degada como las modernas y quisiera ver eso que no se vea gruesa como se ve en la imagen, las cara teristicas me parecen buenas, me confirma si podría darme la direcció o como lo ubicó. Sldos', '8': 'En que distrito se encuentran?', '9': 'donde se puede ver la laptop?'}",EliteBook,4 GB,HD,Intel
"Laptop Hp/dell Empresarial Ci7, 4gb, 1tb, Video Hd 2gb, Hdmi (Reacondicionado)",https://articulo.mercadolibre.com.pe/MPE-439256003-laptop-hpdell-empresarial-ci7-4gb-1tb-video-hd-2gb-hdmi-_JM,1290.0,62,4.6,"Lince, Lima Metropolitana",Dell / HP,,DDR3,"Llega gratis ,, recibe el producto que esperabas o te devolvemos tu dinero.","mañana,4 GB,No,14 "",#439256003",,"{'0': 'Buenas tardes, tiene tienda física', '1': 'hola sigue diponible el hp?', '2': 'Tiene disponible,envio a San martin de pangoa ,selva central del Perú???', '3': 'Buen día, una consulta, cuentan con la disponibilidad inmediata', '4': 'Hola para envio a provincia.', '5': 'Hola quiero para envio provincia.', '6': 'Cuanto dura la bateria.?', '7': 'Tiene Bluetooth,tpm2.0 y tendrán de 8tva generación o mayor', '8': 'cuanto tiempo tarda en enviar el producto', '9': 'Buenos Días, por favor me gustaría saber si me sería útil para hacer trabajos en diseño que incluye añadir fotos y videos.'}",Latitude / PROBOOK,4 GB,HD,Video dedicado 1GB
Laptop Dell Latitude Intel 4ta Gen Ci7 8gb 1 Tb 14.1   Hdmi (Reacondicionado),https://articulo.mercadolibre.com.pe/MPE-442532468-laptop-dell-latitude-intel-4ta-gen-ci7-8gb-1-tb-141-hdmi-_JM,1605.5,5,,"Lince, Lima Metropolitana",Dell,E6440/E5440,DDR3L,"Llega gratis ,, recibe el producto que esperabas o te devolvemos tu dinero.","mañana,8 GB,No,14 "",Sí,#442532468","5,% OFF","{'0': 'Si le quiero ampliar de memoria a 16gb y envío a Iquitos ? Vienes con office ?? Precio de envío a iquitos y por qué empresa currier trabajan. ?', '1': 'Es core i7 o core i5?', '2': 'No me permite hacer el pago??', '3': 'mañana y a que hora', '4': 'pueden entregarlo en Cusco', '5': 'Habrá en teclado español? Cuánto de autonomía tiene la batería? Gracias', '6': 'Hola, el teclado es americano?', '7': 'Buenas noches, estará disponible este producto que esta en publicación', '8': 'Buenos días, entonces Por este modelo puedo pagar me refiero por i 7', '9': 'La laptop es nueva ?'}",Latitude,8 GB,1366 X 720,Intel
Laptop Lenovo Thinkpad L13 2da Gen I3 11th Gen 8gb 256gb Ssd,https://articulo.mercadolibre.com.pe/MPE-606467803-laptop-lenovo-thinkpad-l13-2da-gen-i3-11th-gen-8gb-256gb-ssd-_JM,2699.0,Nuevo,,,Lenovo,Laptop Lenovo ThinkPad L13 2da Gen i3 11th Gen 8GB 256GB SSD,DDR4,"Envío gratis a todo el país,Devolución gratis,, recibe el producto que esperabas o te devolvemos tu dinero.,12 meses de garantía de fábrica.","Disponible 2 días después de tu compra,¡Última disponible!,8 GB,No,Sí,13.3 "",14 h,#606467803","50,% OFF","{'0': 'Buen dia estimado, es posible adquirir esta latptop?', '1': 'buenas tardes tiene el modelo L15 think pad en stock ?', '2': 'Hola, nos interesa comprar esta laptop. Pero quisiera 4 equipos, con factura. Tienen stock?', '3': 'Hasta cuanto Puedo aumentar la RAM y el SSD CONFIRMAR POR FAVOR'}",ThinkPad,8 GB,256 GB,Sí
Laptop Dell Empresarial Ci7 16gb 1tb Video Dedicado Hdmi 14  (Reacondicionado),https://articulo.mercadolibre.com.pe/MPE-606876080-laptop-dell-empresarial-ci7-16gb-1tb-video-dedicado-hdmi-14-_JM,1589.0,1,,"Lince, Lima Metropolitana",Dell/HP,E6430,DDR3,"Llega gratis ,, recibe el producto que esperabas o te devolvemos tu dinero.","mañana,16 GB,No,14 "",#606876080",,"{'0': ""esa laptop que me recomienda el modelo DELL E6530 Core i7 - 3era generación, con 16GB de ram, SSD 240GB, pantalla 15.6'' y tarjeta de video dedicado de 1GB que te podría ir mejor lo puedo comprar con este producto que estoy enviando sms??? porque no lo encuentro en su lista de productos"", '1': 'Soporta y accede programas de diseño??', '2': 'Donde los puedo ubicar o comunicar?', '3': 'Dirección para poder ir y comprar las laptops', '4': 'Tiene lugar físico?? Lo necesito urgente', '5': 'Buenas, tiene la E6430ATG ?', '6': 'Buen dia, me avisas cuando tengas las T530. Gracias', '7': 'Para que fecha está llegando t530.', '8': 'Buenas tardes. Estoy q busco la thinkpad w530. La tienes ?', '9': 'Buenas tardes tiene puerto usb 3.0, realizas envíos a Trujillo y cuanto es el costo por ello'}",Latitude/Elitebook,16 GB,HD,Video dedicado
Ultrabook Lenovo Thinkpad Ci7 5ta Gen 12gb 1 Tb Full Hd 14  (Reacondicionado),https://articulo.mercadolibre.com.pe/MPE-441967706-ultrabook-lenovo-thinkpad-ci7-5ta-gen-12gb-1-tb-full-hd-14-_JM,2090.0,10,,"Lince, Lima Metropolitana",Lenovo,ThinkPad,DDR3L,"Llega gratis ,, recibe el producto que esperabas o te devolvemos tu dinero.","mañana,12 GB,14 "",#441967706",,"{'0': 'contara con stock actualmente?', '1': 'Entonces no tiene stock de la T450, cuando estaría llegando, esa también viene con maletín y mouse?', '2': 'Este modelo aun cuenta con stock', '3': 'El modelo publicado no hay stock?, va demorar en llegar?', '4': 'Hola tiene stock, y cuanto dura la batería?, gracias.', '5': 'Buenas noches estoy interesado en el producto. Me podría brindar fotos reales del producto por favor', '6': 'Hola, ya no cuentan con la T', '7': 'Corrigo la anterior pregunta, ya no cuentan con la Thinkpad de la publicación, la T450?', '8': 'Hola qué cubre la garantía', '9': 'Hola, tendra con teclado numerico en español y tarjeta dedicada. Saludos'}",Empresarial,12 GB,1600 x 900,Intel
Laptop Dell Latitude Intel 4ta Gen Ci7  12gb 1tb 14.1  Hdmi (Reacondicionado),https://articulo.mercadolibre.com.pe/MPE-442531781-laptop-dell-latitude-intel-4ta-gen-ci7-12gb-1tb-141-hdmi-_JM,1890.0,2,,"Lince, Lima Metropolitana",Dell,E6440,DDR3L,"Llega gratis ,, recibe el producto que esperabas o te devolvemos tu dinero.","mañana,12 GB,No,14 "",Sí,#442531781",,"{'0': 'Buen día, tiene en stock. ¿Da factura?. A cuanto me deja 2', '1': 'Qué tal cámara tiene, tiene stock disponible mire factura ??', '2': 'Tiene laptop ci5 o 3 8gbram 14"" presupuesto 1800', '3': 'Buenos dias tienes en stock este modelo', '4': 'Buenas tardes. Aún tiene en stock este modelo??', '5': 'Sigue en stock para comprarlo hoy por favor', '6': 'Aún tiene en stock', '7': 'Vienen selladas?', '8': 'Buenas aún tiene este modelo en stock'}",Latitude,12 GB,1280 x 720,Intel
"Laptop Hp 14-cf2519la 14 PuLG, Core I3-10110u 8gb, Ssd 256gb",https://articulo.mercadolibre.com.pe/MPE-601047313-laptop-hp-14-cf2519la-14-pulg-core-i3-10110u-8gb-ssd-256gb-_JM,2099.0,Nuevo,,¡Es uno de los mejores del sitio!,HP,14-cf2519la,DDR4,"Llega gratis ,Devolución gratis,, recibe el producto que esperabas o te devolvemos tu dinero.,12 meses de garantía de fábrica.","mañana,8 GB,No,14 "",#601047313",,"{'0': 'Buenas, el producto es nuevo ? Y con que sistema operativo viene instalado ?', '1': 'buenas, los 30 soles, se pagan contra entrega?', '2': 'buenas costo de envio con Olva para Comas y cuanto demora?', '3': 'El teclado es en español. Gracias', '4': 'Buenos días Brinda. Factura por la compra ?'}",Cf Series,8 GB,256 GB,FreeDOS
Hp Laptop 15-dy2064la Ram 8 Gb Rom 512 Gb,https://articulo.mercadolibre.com.pe/MPE-611388710-hp-laptop-15-dy2064la-ram-8-gb-rom-512-gb-_JM,1799.0,Nuevo,,¡Es uno de los mejores del sitio!,HP,,,"Llega gratis ,Devolución gratis,, recibe el producto que esperabas o te devolvemos tu dinero.","entre el miércoles y el jueves,8 GB,45 m,15.6 in,Sí,#611388710","25,% OFF","{'0': 'Buenos días, el envío a Tacna cuánto es?', '1': 'Buenas tardes, me puede indicar la capacidad de SSD? Gracias', '2': 'Hp Laptop 15-dy2064la Ram 8 Gb Rom 512 Gb por HP Store, cuánto es la duración de la batería, porque figura 45 minutos?'}",40P51LA,8 GB,512 GB,Windows 10 Home
"Laptop Hp 250 G7 15.6 PuLG, Core I3-1005g1, Ram 4gb, Hdd 1tb",https://articulo.mercadolibre.com.pe/MPE-445689793-laptop-hp-250-g7-156-pulg-core-i3-1005g1-ram-4gb-hdd-1tb-_JM,1639.18,Nuevo,4.5,¡Es uno de los mejores del sitio!,HP,250 G7,DDR4,"Llega gratis ,Devolución gratis,, recibe el producto que esperabas o te devolvemos tu dinero.","mañana,4 GB,No,15.6 "",12.3 h,#445689793","18,% OFF","{'0': 'Buenas los precios cuestan igual si voy directo a tu tienda en wilson??', '1': 'Buenas noches, que es freedoos?', '2': 'por cuanto tiempo esta en oferta? o ese es el precio fijo', '3': 'que numero de tienda de wilson es? la oferta tambien es por tienda fisica? y acepta cuotas?', '4': 'es con graficos incorporados intel?', '5': 'tienen tienda fisica?', '6': 'Buenas, cuenta con el producto? Se le podría agregar una RAM de 4 GB para Tener 8 GB? Cuanto seria el costo adicional? Y Cuánto demoraría el envío a Cañete?', '7': 'Hay que instalará algo para que funcione o ya esta instalado todo', '8': 'Se puede pagar en cuotas?', '9': 'Hola buenas, le puedo cambiar el disco duro por un disco solido? Y si es asi, de cuanto gb lenpuedo cambiar?'}",Comercial,4 GB,60 Hz,Intel HD Graphics 620
Cover Case Mate Macbook Pro 13 A2289 A2251 A2338 M1 2020 ,https://articulo.mercadolibre.com.pe/MPE-447447243-cover-case-mate-macbook-pro-13-a2289-a2251-a2338-m1-2020-_JM,66.49,Nuevo,,"Lince, Lima Metropolitana",IceBear Case,2020 (A2289/A2251) A2338 M1,,"Llega ,Devolución gratis,, recibe el producto que esperabas o te devolvemos tu dinero.,1 meses de garantía de fábrica.","entre el miércoles y el jueves,#447447243","5,% OFF","{'0': 'Hola, tendrás Case cover para MacBook pro 2012 - 13 pulgadas, modelo A1278?', '1': 'Hola buenos dias, es compatible con la Macbook Pro 2012?', '2': 'es que no sale el codigo de atras solo se que es Macboock pro 13 inch mid 2012 creo con eso pueden sacar las especificaciones y saber si ese modelo es compatible', '3': 'Buenas ese modelo puede ser para Macbook pro 13 inch,Mid 2012 ,soy de lanbayeque cual seria el precio', '4': 'Buenas tardes tiene color azul para MacBook pro 13 A2289¿?? Para amazonas?', '5': 'Buenas noches, entonces quisiera comprar la funda azul marino, el protector de pantalla marca wiwu y un protector de teclado, todos para MacBook Air m1. Como debería hacer la compra. Si a posible que pueda llegar mañana. Quizás asumiendo yo el motorizado. Me confirmas por favor.', '6': 'Hola buenas noches, tendrás el coló blanco y color azul para el MacBook Air 13 ???', '7': 'Hola, tendrán disponible el blue o black para el modelo A2338?', '8': 'Hola, el modelo de mi mac es: 14-inch MacBook Pro del 2021', '9': 'Hola! tienen disponible para mcbook pro de pantalla 14""'}",Macbook Pro 13 2020,Apple,macOS,
"Laptop Lenovo S145, 14   Amd A4-9125, 4gb / 500gb 81st000mlm",https://articulo.mercadolibre.com.pe/MPE-611146292-laptop-lenovo-s145-14-amd-a4-9125-4gb-500gb-81st000mlm-_JM,998.0,Nuevo,,"Lima, Lima Metropolitana",Lenovo,S145,DDR4,"Llega gratis ,Devolución gratis,, recibe el producto que esperabas o te devolvemos tu dinero.,12 meses de garantía de fábrica.","mañana,4 GB,14 "",#611146292",,{'0': 'la memoria ram es expandible?'},IdeaPad,4 GB,500 GB,Windows
Msi Ge76 Raider 17.3  144hz I7-11800h Rtx 3060 1tb Ssd 16gb,https://articulo.mercadolibre.com.pe/MPE-604914175-msi-ge76-raider-173-144hz-i7-11800h-rtx-3060-1tb-ssd-16gb-_JM,9299.0,Nuevo,,"Barranco, Lima Metropolitana",MSI,GE76 Raider 11UE-046,DDR6,"Envío gratis a todo el país,Devolución gratis,, recibe el producto que esperabas o te devolvemos tu dinero.,12 meses de garantía de fábrica.","16 GB,No,17.3 "",#604914175",,"{'0': 'Hola buenas tardes, por favor dime si aún la tienes en stock y tú horario de atención para ver si llego hoy a recogerla en tu tienda de barranco.', '1': 'Tiene stock , cuánto tiempo llega a Cusco y por qué medio hacen el envío ??', '2': 'Reciben tarjeta por medio de pago', '3': 'Hola buenas espero su respuesta porfa.. espero le quede una', '4': 'Con que regalo lo das y se puede coordinar para la. Entrega en lima??', '5': 'No puedo aumentar de un 1tb a 2 tb o. Tiene una ranura para aumentar memoria del disco. Duro', '6': 'Tiene para aumentar la. Memoria del. Disco duro y cuanto. Dura la. Bateria', '7': 'Se puede pagar por partes con tarjeta de credito'}",GE76 Raider,16 GB,144 Hz,"NVIDIA® GeForce RTX™ 3060 Graphics, 6GB"
Laptop Ideapadgaming 3i 15.6  Fhd Core I5 16gb 1tb,https://articulo.mercadolibre.com.pe/MPE-605439161-laptop-ideapadgaming-3i-156-fhd-core-i5-16gb-1tb-_JM,3899.0,Nuevo,,,Lenovo,81Y400TKLM,,"Retiro gratis en tienda de La Curacao,, recibe el producto que esperabas o te devolvemos tu dinero.","16 GB,No,15.6 "",#605439161","22,% OFF","{'0': 'El teclado es español (tiene Ñ) o inglés?', '1': 'Me confirman si el teclado es español para concretar la compra', '2': 'Buen día espero su confirmación de si el producto tiene teclado español', '3': 'que generacion es?', '4': 'Hola, qué generación es el procesador? Gracias'}",IdeaPad,16 GB,1 TB,2.2 kg
Laptop Hp 15-dw1085la 15.6  Intel Core I3 10°gen 256gb Ssd,https://articulo.mercadolibre.com.pe/MPE-609765365-laptop-hp-15-dw1085la-156-intel-core-i3-10gen-256gb-ssd-_JM,1599.0,Nuevo,,,HP,,,"Retiro gratis en tienda de La Curacao,, recibe el producto que esperabas o te devolvemos tu dinero.","4 GB,15.6 "",#609765365","44,% OFF","{'0': 'Haces envíos a provincia a Oxapampa', '1': 'Hola, en cuanto tiempo llega el producto en lima?', '2': 'Hola, puede enviar a la oficina postal de desaguadero? y en que tiempo ? gracias', '3': 'Ayacucho mismo sería, donde se encuentra su tienda, medio mes es mucho para esperar, no puede ser en menos tiempo???', '4': 'Buen día, necesito para Ayacucho en cuanto tiempo me llega??? o si tiene en la tienda de Ayacucho para recogerlo sería bueno', '5': 'Buenos días, quería saber si la tiene disponible y cuánto tardaría para enviarla hacia Chincha', '6': 'ENVIA PARA ANDAHUAYLAS', '7': 'se le puede agregar mas memoria Ram?', '8': 'Es Windows 10', '9': 'Hola le doy en comprar y el plazo de entrega es de 7 días..podría antes recogerlo en tienda?'}",15-DW1085LA,4 GB,256 GB,Windows
Ssd Sata 240gb A400 Kingstong ( Disco Solido ),https://articulo.mercadolibre.com.pe/MPE-446180804-ssd-sata-240gb-a400-kingstong-disco-solido--_JM,169.0,Nuevo,4.7,"Ate, Lima Metropolitana",Kingston,SA400M8/240G,SSD,"Llega gratis ,Devolución gratis,, recibe el producto que esperabas o te devolvemos tu dinero.,3 años de garantía de fábrica.","mañana,240 GB,2.5 "",PC,Notebook,PC/NOTEBOOK,SSD,SATA III,#446180804",,"{'0': 'buenos dias es compatible para una laptop toshiba icore 3 satelite de procesador (Intel(R) Core(TM) i3-4005U CPU @ 1.70GHz 1.70 GHz)', '1': 'Hola, como saber si es compatible con una laptop gatawey', '2': 'Buenas noches, me encuentro en San juan de lurigancho. Cuanto sería el costo de envío y pueden hacer entrega mañana?', '3': 'cuanto demora para llegar a la ciudad de piura', '4': 'buenas. una consulta sire para cualquier tio de laptop, tengo un oentium lenovo G480', '5': 'Hola. Pueden dar factura. Es para provincia?', '6': 'Buenas , se puede pagar en cuotas y cuánto cuesta el envío a provincia?', '7': '¿Viene sellado?', '8': 'Disponible ? Lima', '9': 'A huaraz hace envíos?'}",A400,240 GB,SATA III,Sí
Macbook Pro 16 Chip M1 Pro 10-core 32gb Ram 1tb Ssd,https://articulo.mercadolibre.com.pe/MPE-604758110-macbook-pro-16-chip-m1-pro-10-core-32gb-ram-1tb-ssd-_JM,17815.0,Nuevo,,"Lima, Lima Metropolitana",Apple,Chip M1 Pro 2021,DRAM,"Envío gratis a todo el país,Devolución gratis,, recibe el producto que esperabas o te devolvemos tu dinero.,12 meses de garantía de fábrica.","Disponible 30 días después de tu compra,32 GB,No,16.2 "",1 m,#604758110",,"{'0': 'Buenas, disponible en cuanto tiempo? envió a los olivos?'}",MacBook Pro,32 GB,120 Hz,16-Core GPU | 16-Core Neural Engine
Msi Crosshair 17 144hz Ci7-11800 16gb 512ssd Rtx3050 4gb W11,https://articulo.mercadolibre.com.pe/MPE-609833144-msi-crosshair-17-144hz-ci7-11800-16gb-512ssd-rtx3050-4gb-w11-_JM,5899.0,Nuevo,,"Lima, Lima Metropolitana",MSI,17,DDR4,"Envío gratis a todo el país,Devolución gratis,, recibe el producto que esperabas o te devolvemos tu dinero.,12 meses de garantía de fábrica.","16 GB,15.6 "",Full HD,No,#609833144",,"{'0': 'Buenas noches, 3 preguntas: El precio con pago efectivo o transf. es 5449? La pantalla es de 17.3""? Puedo pagar en 4 partes y me la entregan cuando cancele?'}",CROSSHAIR,16 GB,NVIDIA GeForce RTX 3050,144 Hz
 Laptop Asus X515 15.6' Full Hd I3 11va 8gb 256gb Ssd W10,https://articulo.mercadolibre.com.pe/MPE-600426240-laptop-asus-x515-156-full-hd-i3-11va-8gb-256gb-ssd-w10-_JM,2599.0,Nuevo,,"Lima, Lima Metropolitana",Asus,X515,DDR4,"Llega gratis ,Devolución gratis,, recibe el producto que esperabas o te devolvemos tu dinero.,12 meses de garantía de fábrica.","entre el miércoles y el jueves,¡Última disponible!,8 GB,No,15.6 "",#600426240",,"{'0': 'amigo aun lo tienes', '1': 'Ya amigo en un momento le daré a comprar', '2': 'buenos días, ¿tienes stock? ¿realiza envíos a provincia? ¿acepta mercadopago?', '3': 'Hola, aún lo tienes en stock? Consulta, aún es posible el envío a la ciudad del Cusco por agencia? Gracias.'}",Asus,8 GB,256 GB,Windows
Laptop Empresarial Dell 5450 Ci5 5ta.gen.16gb 1tb Hdmi 14.1  (Reacondicionado),https://articulo.mercadolibre.com.pe/MPE-442629746-laptop-empresarial-dell-5450-ci5-5tagen16gb-1tb-hdmi-141-_JM,1890.0,18,,"Lince, Lima Metropolitana",Dell,E5450/E7450,DDR3L,"Envío gratis a todo el país,, recibe el producto que esperabas o te devolvemos tu dinero.","16 GB,14.1 "",#442629746",,"{'0': 'Buenas tardes producto en stock, estoy interesado', '1': 'Quiero comprar la lenovo de 16 de ram pero como haríamos con el currier no quiero que lo envíen por Shalom Mucho se demora, otro currier yo pago pero quisiera saber el costo de envío, adicional viene con office ?', '2': 'Envío a Iquitos ??', '3': 'Buen día. Estoy buscando una laptop para instalar máquinas virtuales. Esta basta? O tiene una mejor. Y otra pregunta, tiene tienda física en Lima?', '4': 'Buenas, cuenta con teclado layout en español y 16 GB de ram?', '5': 'Duracion de la batería ?', '6': 'Hoy domingo también atienden?', '7': 'Tiene algún lugar donde pueda verla, para comprarla al instante', '8': 'Buenas noches para cuando tendrían este modelo', '9': 'tiene cámara incluida?'}",Latitude,16 GB,HD,Intel
Laptop Asus X515 15.6' Fhd I3 11va 8gb 256ssd Parlantes,https://articulo.mercadolibre.com.pe/MPE-600401271-laptop-asus-x515-156-fhd-i3-11va-8gb-256ssd-parlantes-_JM,2599.0,Nuevo,,"Lima, Lima Metropolitana",Asus,X515,DDR4,"Llega gratis ,Devolución gratis,, recibe el producto que esperabas o te devolvemos tu dinero.,12 meses de garantía de fábrica.","entre el miércoles y el jueves,¡Última disponible!,8 GB,No,15.6 "",#600401271",,"{'0': 'Es pantalla tactil?', '1': 'Buenas noches, ¿Contará con stock para adquirir este producto?', '2': 'Se puede aumentar la memoria de almacenamiento? o en su defecto, hay alguna versión con ssd de 512GB?- Y cuanto sería la diferencia por ese aumento? muchas gracias', '3': 'Se puede aumentar la memoria de almacenamiento? o en su defecto, hay alguna versión con ssd de 512GB?', '4': 'Consulta adicional. He visto que dicen que el teclado no es iluminado. Es posible iluminar el teclado? hay un juego de letras para iluminar?', '5': 'me comentas porfas, la pregunta anterior.', '6': 'Quisiera con 20Gb. ¿Dónde le doy comprar? o aquí mismo y ya se arregla al interno? una pregunta adicional más. El SO windows es de 64 bits? Gracias.', '7': 'tecla Ñ? Cuánto me cuesta con 16Gb RAM?', '8': 'Cuánto costaría el envío a TARAPOTO?', '9': 'Buenas tardes, envió a provincia?'}",Asus,8 GB,256 GB,Windows
Huawei Matebook D 14  2021 Intel Core I3 8gb Ssd 256g,https://articulo.mercadolibre.com.pe/MPE-602019586-huawei-matebook-d-14-2021-intel-core-i3-8gb-ssd-256g-_JM,2099.0,Nuevo,4.8,,Huawei,MATEBOOK D,,"Retiro gratis en tienda de Tiendas EFE,, recibe el producto que esperabas o te devolvemos tu dinero.","256 GB,No,14 "",Sí,#602019586","37,% OFF","{'0': 'hola , cuanto de RAM es?', '1': 'El Codigo de procesador es el de i3-10110U? O es uno más actualizado? Gracias!', '2': 'Villa María del triunfo es Lima Urbana l Lima periférica?', '3': 'Hay alguna opción de retiro en tienda?', '4': 'Hola buen día, si la compra la hago mañana Lunes, el pedido máximo estaría llegando el día miércoles a mi casa verdad?.. Ya que en feriado no trabajan verdad?', '5': 'Buen dia, cuantos dia demora el retiro en tienda EFE de VMT por favor respuesta, saludos.', '6': 'Buen dia, cuantos dias demora para retiro en tienda de VMT tienda EFE, por favor respuesta. Saludos.', '7': 'La pantalla es mate o brillosa? Tiene teclado iluminado? Gracias', '8': 'Hacen envió a provincias?', '9': 'Buenas tardes tienes stock para arequipa, en tienda?'}",Win,256 GB,1920×1080,1.7 kg
Laptop Asus Tuf Dash F15 Ci7 11th 512gb Ssd 16gb Rtx3060 6gb,https://articulo.mercadolibre.com.pe/MPE-608487708-laptop-asus-tuf-dash-f15-ci7-11th-512gb-ssd-16gb-rtx3060-6gb-_JM,7195.0,Nuevo,,"Lima, Lima Metropolitana",Asus,F15,DDR4,"Envío gratis a todo el país,Devolución gratis,, recibe el producto que esperabas o te devolvemos tu dinero.,12 meses de garantía de fábrica.","16 GB,No,15.6 "",#608487708",,"{'0': 'Emiten factura?', '1': 'Tendrá tienda física ?'}",TUF,16 GB,144 Hz,NVIDIA GeForce RTX 3060
Notebook Lenovo Legion 5pro 16  Amd Ryzen 7-5800h 16gb 512gb,https://articulo.mercadolibre.com.pe/MPE-607233106-notebook-lenovo-legion-5pro-16-amd-ryzen-7-5800h-16gb-512gb-_JM,7699.0,Nuevo,,,Lenovo,82JQ00BBLM,,"Retiro gratis en tienda de La Curacao,, recibe el producto que esperabas o te devolvemos tu dinero.","16 GB,16 "",#607233106","14,% OFF","{'0': 'buenas, hay opcion de 32gb de ram?', '1': 'Que tarjeta video tiene?', '2': 'Si lo compro hoy cuanto demoraría en llegar a la provincia de Camaná?', '3': 'Hola hay stock? El equipo tiene garantia?', '4': 'Okey, por favor pueden responder al interno, ya hice la compra y no tengo respuesta para la coordinación de entrega del producto.', '5': 'Buen día, envió a nivel nacional gratis, o solo por recojo en tienda?', '6': 'Buen día, realizan envio a Provincia, en este caso Piura. Cuanto seria el precio, gracias.'}",Legion,16 GB,512 GB,2.45 kg
"Laptop Acer Aspire 5 15.6 Fhd, I5-10210u, Ram 8gb, Ssd 256gb",https://articulo.mercadolibre.com.pe/MPE-611321535-laptop-acer-aspire-5-156-fhd-i5-10210u-ram-8gb-ssd-256gb-_JM,2443.06,Nuevo,,¡Es uno de los mejores del sitio!,Acer,A515-54-50DT,DDR4,"Llega gratis ,Devolución gratis,, recibe el producto que esperabas o te devolvemos tu dinero.,12 meses de garantía de fábrica.","mañana,8 GB,No,15.6 "",#611321535","6,% OFF",{'0': 'El teclado es en español? Es decir... tiene la tecla Ñ?'},Aspire 5,8 GB,256 GB,FreeDOS
